id_educacion,anio,codigo_municipio,nombre_municipio,codigo_departamento,nombre_departamento,poblacion_5_16,total_matriculados,tasa_matriculacion_5_16,cobertura_neta_total,cobertura_neta_transicion,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta_total,cobertura_bruta_transicion,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tasa_desercion_total,tasa_desercion_primaria,tasa_desercion_secundaria,tasa_aprobacion_total,tasa_aprobacion_transicion,tasa_aprobacion_primaria,tasa_aprobacion_secundaria,tasa_aprobacion_media,tasa_reprobacion_total,tasa_reprobacion_transicion,tasa_reprobacion_primaria,tasa_reprobacion_secundaria,tasa_reprobacion_media,tasa_repitencia_total,tasa_repitencia_transicion,tasa_repitencia_primaria,tasa_repitencia_secundaria,tasa_repitencia_media
1,2023,05004,Abriaquí,05,Antioquia,503.0,314.9786,0.6262,0.6262,0.44189999999999996,0.6333,0.5153,0.4023,0.6679999999999999,0.5814,0.7286,0.6687000000000001,0.5632,0.011899999999999999,0.0131,0.0,0.9226000000000001,0.0,0.9673,0.8349,0.9388,0.0655,0.0,0.0196,0.16510000000000002,0.0204,0.09519999999999999,0.0,0.10460000000000001,0.1376,0.0204
2,2023,95025,El Retorno,95,Guaviare,4438.0,2364.1226,0.5327000000000001,0.5327000000000001,0.33909999999999996,0.4889,0.449,0.213,0.6297999999999999,0.542,0.6518999999999999,0.696,0.4854,0.0556,0.0499,0.0611,0.8767,0.0,0.879,0.845,0.9298000000000001,0.0678,0.0,0.0711,0.09390000000000001,0.0175,0.0934,0.0695,0.1184,0.0848,0.0316
3,2023,95200,Miraflores,95,Guaviare,2014.0,654.9528000000001,0.32520000000000004,0.32520000000000004,0.17579999999999998,0.25329999999999997,0.2643,0.1075,0.3858,0.3636,0.3728,0.461,0.2616,0.0785,0.0843,0.0636,0.8268000000000001,0.0333,0.8464,0.7951,0.875,0.0947,0.0333,0.0693,0.1413,0.0781,0.08650000000000001,0.0667,0.0904,0.1025,0.0154
4,2023,97001,Mitú,97,Vaupés,10986.0,6544.3602,0.5957,0.5957,0.4276,0.5595,0.4351,0.17059999999999997,0.7065,0.649,0.7696,0.7292000000000001,0.5312,0.0395,0.0184,0.0677,0.9070999999999999,0.005699999999999999,0.9412,0.8491,0.8993000000000001,0.053399999999999996,0.005699999999999999,0.0404,0.0833,0.046,0.1618,0.0775,0.2104,0.1384,0.0718
5,2023,97161,Caruru,97,Vaupés,1228.0,629.964,0.513,0.513,0.7631999999999999,0.5229,0.3371,0.11939999999999999,0.5554,0.9211,0.6520999999999999,0.5112,0.2736,0.0836,0.0305,0.1572,0.8240000000000001,0.0,0.8963,0.69,0.7818,0.0924,0.0,0.0732,0.1528,0.0727,0.0924,0.0286,0.0762,0.1485,0.0364
6,2023,97511,Pacoa,97,Vaupés,1678.0,910.9861999999999,0.5428999999999999,0.5428999999999999,0.15439999999999998,0.5569,0.2491,0.0462,0.7139,0.3893,1.003,0.6792,0.3003,0.0535,0.0716,0.0265,0.9465,0.0,0.9284,0.9734999999999999,0.9340999999999999,0.0,0.0,0.0,0.0,0.0,0.2321,0.2586,0.303,0.1425,0.0659
7,2023,97666,Taraira,97,Vaupés,814.0,183.964,0.226,0.226,0.1429,0.34979999999999994,0.0,0.0,0.2334,0.23809999999999998,0.5776,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158,0.1333,0.2229,0.0,0.0
8,2023,97777,Papunaua,97,Vaupés,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2023,97889,Yavaraté,97,Vaupés,561.0,268.9995,0.47950000000000004,0.47950000000000004,0.6875,0.5219,0.2584,0.1304,0.5205,1.0,0.6973999999999999,0.3636,0.2717,0.044500000000000005,0.0189,0.0658,0.9555,0.0,0.9811,0.9342,0.8,0.0,0.0,0.0,0.0,0.0,0.1233,0.0313,0.195,0.0395,0.04
10,2023,99001,Puerto Carreño,99,Vichada,4641.0,6707.1732,1.4452,1.4452,1.1444,1.6278,0.7848,0.3346,1.585,1.4545,2.2567,1.2255,0.7543000000000001,0.0581,0.061200000000000004,0.057999999999999996,0.8093,0.0,0.8092,0.7536,0.8789,0.1326,0.0,0.12960000000000002,0.1884,0.08810000000000001,0.1118,0.008199999999999999,0.1325,0.1045,0.0639
