codigo_departamento,departamento,codigo_municipio,municipio,anio,poblacion_total
5,Antioquia,5001,Medellín,2005,2046341
5,Antioquia,5002,Abejorral,2005,22942
5,Antioquia,5004,Abriaquí,2005,2719
5,Antioquia,5021,Alejandría,2005,4724
5,Antioquia,5030,Amagá,2005,27121
5,Antioquia,5031,Amalfi,2005,22933
5,Antioquia,5034,Andes,2005,41876
5,Antioquia,5036,Angelópolis,2005,5865
5,Antioquia,5038,Angostura,2005,12193
5,Antioquia,5040,Anorí,2005,15853
5,Antioquia,5042,Santafé de Antioquia,2005,23457
5,Antioquia,5044,Anzá,2005,6830
5,Antioquia,5045,Apartadó,2005,91677
5,Antioquia,5051,Arboletes,2005,29229
5,Antioquia,5055,Argelia,2005,9589
5,Antioquia,5059,Armenia,2005,5964
5,Antioquia,5079,Barbosa,2005,43604
5,Antioquia,5086,Belmira,2005,5915
5,Antioquia,5088,Bello,2005,399798
5,Antioquia,5091,Betania,2005,11514
5,Antioquia,5093,Betulia,2005,15629
5,Antioquia,5101,Ciudad Bolívar,2005,27346
5,Antioquia,5107,Briceño,2005,8475
5,Antioquia,5113,Buriticá,2005,8476
5,Antioquia,5120,Cáceres,2005,24999
5,Antioquia,5125,Caicedo,2005,7758
5,Antioquia,5129,Caldas,2005,65095
5,Antioquia,5134,Campamento,2005,9758
5,Antioquia,5138,Cañasgordas,2005,17308
5,Antioquia,5142,Caracolí,2005,5324
5,Antioquia,5145,Caramanta,2005,6040
5,Antioquia,5147,Carepa,2005,34439
5,Antioquia,5148,El Carmen de Viboral,2005,48245
5,Antioquia,5150,Carolina,2005,3855
5,Antioquia,5154,Caucasia,2005,70630
5,Antioquia,5172,Chigorodó,2005,44126
5,Antioquia,5190,Cisneros,2005,9518
5,Antioquia,5197,Cocorná,2005,19094
5,Antioquia,5206,Concepción,2005,5448
5,Antioquia,5209,Concordia,2005,21547
5,Antioquia,5212,Copacabana,2005,63378
5,Antioquia,5234,Dabeiba,2005,22271
5,Antioquia,5237,Donmatías,2005,16062
5,Antioquia,5240,Ebéjico,2005,13648
5,Antioquia,5250,El Bagre,2005,39272
5,Antioquia,5264,Entrerríos,2005,8983
5,Antioquia,5266,Envigado,2005,174501
5,Antioquia,5282,Fredonia,2005,24304
5,Antioquia,5284,Frontino,2005,22850
5,Antioquia,5306,Giraldo,2005,4892
5,Antioquia,5308,Girardota,2005,41170
5,Antioquia,5310,Gómez Plata,2005,9642
5,Antioquia,5313,Granada,2005,13882
5,Antioquia,5315,Guadalupe,2005,6568
5,Antioquia,5318,Guarne,2005,43419
5,Antioquia,5321,Guatapé,2005,6759
5,Antioquia,5347,Heliconia,2005,6547
5,Antioquia,5353,Hispania,2005,5315
5,Antioquia,5360,Itagüí,2005,221921
5,Antioquia,5361,Ituango,2005,26027
5,Antioquia,5364,Jardín,2005,13726
5,Antioquia,5368,Jericó,2005,14363
5,Antioquia,5376,La Ceja,2005,50697
5,Antioquia,5380,La Estrella,2005,55384
5,Antioquia,5390,La Pintada,2005,9962
5,Antioquia,5400,La Unión,2005,18610
5,Antioquia,5411,Liborina,2005,10509
5,Antioquia,5425,Maceo,2005,8688
5,Antioquia,5440,Marinilla,2005,52242
5,Antioquia,5467,Montebello,2005,7845
5,Antioquia,5475,Murindó,2005,3611
5,Antioquia,5480,Mutatá,2005,12175
5,Antioquia,5483,Nariño,2005,12632
5,Antioquia,5490,Necoclí,2005,36466
5,Antioquia,5495,Nechí,2005,20179
